,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2018-04-27,8431.57,8566.28,8619.59,8430.75,182479.0,4073290.0,1.89,37.77,4.09,30325.16,0.59,9.23
2018-05-02,8584.45,8649.81,8687.82,8570.83,206453.0,4403825.0,0.98,35.77,4.08,30634.75,0.56,8.77
2018-05-03,8620.77,8640.11,8652.25,8494.97,190074.0,3916256.0,-0.11,35.74,4.08,30644.42,0.57,8.76
2018-05-04,8616.05,8747.32,8779.47,8606.78,195342.0,4068465.0,1.24,36.18,4.14,31073.22,0.64,8.74
2018-05-07,8756.28,8922.9,8923.11,8747.17,215779.0,4619213.0,2.01,36.87,4.22,31725.87,0.63,8.74
2018-05-08,8925.6,8913.53,8934.22,8883.46,211091.0,4392255.0,-0.11,36.83,4.21,31698.18,0.64,8.75
2018-05-09,8907.9,8919.76,8929.33,8859.25,186254.0,3653508.0,0.07,36.87,4.22,31716.39,0.65,8.74
2018-05-10,8927.74,9102.06,9104.4,8911.88,226493.0,4605257.0,2.04,37.65,4.31,32377.39,0.64,8.74
2018-05-11,9098.45,8896.5,9195.14,8892.39,246076.0,5294667.0,-2.26,36.8,4.21,31688.64,0.64,8.74
2018-05-14,8881.17,8896.49,8910.07,8786.7,187406.0,4000323.0,0.0,36.82,4.21,31721.16,0.63,8.75
2018-05-15,8903.37,9069.38,9069.64,8900.94,170728.0,3834220.0,1.94,37.54,4.29,32394.0,0.62,8.75
2018-05-16,9055.92,9169.41,9250.98,9039.98,260626.0,5339240.0,1.1,37.93,4.33,32793.57,0.61,8.76
2018-05-17,9155.0,9051.54,9155.77,9029.27,202608.0,4039208.0,-1.29,37.43,4.27,32369.29,0.62,8.77
2018-05-18,9033.19,9064.17,9071.11,8948.9,176689.0,3544297.0,0.14,37.48,4.28,32434.85,0.62,8.76
2018-05-21,9097.98,9093.57,9098.22,9023.33,189176.0,3746144.0,0.32,37.59,4.29,32528.35,0.6,8.76
2018-05-22,9088.92,9258.64,9258.64,9078.32,208709.0,4475416.0,1.82,38.31,4.37,33108.24,0.6,8.77
2018-05-23,9241.12,9215.63,9348.38,9215.63,224657.0,4741098.0,-0.46,38.11,4.34,33029.7,0.6,8.78
2018-05-24,9202.1,9261.98,9292.17,9202.1,193742.0,3939180.0,0.5,38.28,4.37,33198.28,0.62,8.76
2018-05-25,9260.1,9307.51,9358.79,9238.77,212826.0,4425570.0,0.49,38.26,4.37,33254.11,0.62,8.76
2018-05-28,9309.18,9391.24,9431.82,9213.18,225189.0,4932118.0,0.9,38.77,4.43,33722.19,0.6,8.75
2018-05-29,9369.7,9094.44,9544.81,9079.22,295301.0,6438984.0,-3.16,37.51,4.29,32633.94,0.63,8.74
2018-05-30,8936.74,8909.6,9072.01,8816.94,274069.0,6110552.0,-2.03,36.09,4.13,31430.66,0.69,8.74
2018-05-31,8979.52,9132.1,9132.1,8937.68,218176.0,4756272.0,2.5,37.7,4.32,32865.64,0.67,8.73
2018-06-01,9097.32,8850.68,9146.91,8775.93,222765.0,4898493.0,-3.08,36.5,4.21,31868.05,0.7,8.67
