,open,close,high,low
2015-12-02,6.4,6.4,6.4,6.4
2015-12-03,6.4,6.4,6.4,6.39
2015-12-04,6.39,6.4,6.4,6.39
2015-12-07,6.4,6.41,6.41,6.4
2015-12-08,6.41,6.42,6.42,6.41
2015-12-09,6.42,6.43,6.43,6.42
2015-12-10,6.43,6.44,6.44,6.43
2015-12-11,6.44,6.46,6.46,6.44
2015-12-14,6.46,6.46,6.47,6.45
2015-12-15,6.46,6.46,6.47,6.46
2015-12-16,6.46,6.47,6.47,6.46
2015-12-17,6.47,6.48,6.49,6.47
2015-12-18,6.48,6.48,6.48,6.48
2015-12-21,6.48,6.48,6.48,6.48
2015-12-22,6.48,6.48,6.48,6.48
2015-12-23,6.48,6.48,6.48,6.47
2015-12-24,6.48,6.48,6.48,6.47
2015-12-25,6.47,6.48,6.48,6.47
2015-12-28,6.47,6.49,6.49,6.47
2015-12-29,6.49,6.48,6.49,6.48
2015-12-30,6.48,6.49,6.49,6.48
2015-12-31,6.49,6.49,6.49,6.49
2016-01-01,6.49,6.49,6.49,6.49
2016-01-04,6.51,6.54,6.54,6.51
2016-01-05,6.52,6.51,6.52,6.51
2016-01-06,6.53,6.56,6.56,6.53
2016-01-07,6.58,6.59,6.59,6.58
2016-01-08,6.57,6.6,6.6,6.56
2016-01-11,6.59,6.57,6.6,6.57
2016-01-12,6.57,6.57,6.58,6.57
2016-01-13,6.57,6.58,6.58,6.57
2016-01-14,6.58,6.59,6.59,6.58
2016-01-15,6.58,6.58,6.59,6.58
2016-01-18,6.58,6.58,6.58,6.58
2016-01-19,6.57,6.58,6.58,6.57
2016-01-20,6.58,6.58,6.58,6.58
2016-01-21,6.58,6.58,6.58,6.57
2016-01-22,6.58,6.58,6.58,6.58
2016-01-25,6.58,6.58,6.58,6.58
2016-01-26,6.58,6.58,6.59,6.58
2016-01-27,6.58,6.58,6.58,6.57
2016-01-28,6.58,6.58,6.58,6.57
2016-01-29,6.57,6.58,6.58,6.57
2016-02-01,6.57,6.58,6.58,6.57
2016-02-02,6.58,6.58,6.58,6.58
2016-02-03,6.58,6.58,6.58,6.57
2016-02-04,6.58,6.56,6.58,6.56
2016-02-05,6.57,6.57,6.58,6.57
2016-02-08,6.57,6.57,6.57,6.57
2016-02-09,6.57,6.57,6.57,6.57
2016-02-10,6.57,6.57,6.57,6.57
2016-02-11,6.57,6.57,6.57,6.57
2016-02-12,6.57,6.57,6.57,6.57
2016-02-15,6.53,6.5,6.53,6.49
2016-02-16,6.5,6.52,6.52,6.5
2016-02-17,6.52,6.53,6.53,6.52
2016-02-18,6.52,6.52,6.52,6.51
2016-02-19,6.52,6.52,6.52,6.51
2016-02-22,6.52,6.52,6.52,6.52
2016-02-23,6.53,6.53,6.53,6.52
2016-02-24,6.53,6.53,6.54,6.53
2016-02-25,6.53,6.53,6.54,6.53
2016-02-26,6.53,6.54,6.54,6.53
2016-02-29,6.55,6.55,6.55,6.55
2016-03-01,6.54,6.55,6.55,6.54
2016-03-02,6.55,6.55,6.55,6.55
2016-03-03,6.55,6.53,6.55,6.53
2016-03-04,6.53,6.51,6.53,6.5
2016-03-07,6.51,6.52,6.52,6.5
2016-03-08,6.52,6.5,6.52,6.5
2016-03-09,6.51,6.51,6.52,6.51
2016-03-10,6.51,6.51,6.52,6.51
2016-03-11,6.51,6.5,6.51,6.49
2016-03-14,6.49,6.5,6.5,6.49
2016-03-15,6.5,6.51,6.52,6.5
2016-03-16,6.51,6.52,6.53,6.51
2016-03-17,6.5,6.47,6.5,6.47
2016-03-18,6.47,6.47,6.49,6.46
2016-03-21,6.48,6.48,6.49,6.48
2016-03-22,6.5,6.49,6.5,6.48
2016-03-23,6.49,6.51,6.51,6.48
2016-03-24,6.51,6.51,6.52,6.51
2016-03-25,6.51,6.52,6.52,6.51
2016-03-28,6.52,6.51,6.52,6.5
2016-03-29,6.51,6.51,6.51,6.51
2016-03-30,6.51,6.47,6.51,6.46
2016-03-31,6.47,6.45,6.47,6.45
2016-04-01,6.46,6.48,6.48,6.46
2016-04-04,6.48,6.48,6.48,6.48
2016-04-05,6.47,6.48,6.48,6.47
2016-04-06,6.48,6.48,6.49,6.47
2016-04-07,6.48,6.46,6.48,6.46
2016-04-08,6.47,6.47,6.48,6.46
2016-04-11,6.46,6.46,6.47,6.45
2016-04-12,6.46,6.47,6.47,6.46
2016-04-13,6.46,6.48,6.48,6.46
2016-04-14,6.48,6.48,6.49,6.48
