,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,ps,ps_ratio,ps_state,ps_min,ps_max,ps_median,ps_mean,ps_drop,ps_q10,ps_q20,ps_q40,ps_q50,ps_q60,ps_q80,ps_q90,pcf,pcf_ratio,pcf_state,pcf_min,pcf_max,pcf_median,pcf_mean,pcf_drop,pcf_q10,pcf_q20,pcf_q40,pcf_q50,pcf_q60,pcf_q80,pcf_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,cap,roe,roe_mean,Profit_margin,income,profit,peg,industry,sample,start,update,aid
601128.XSHG,常熟银行,9.74,11.79,较低,9.36,23.02,13.37,14.0,-3.9,9.65,10.63,12.7,13.37,13.79,16.55,21.7,1.22,10.57,较低,1.18,2.52,1.57,1.64,-3.28,1.21,1.34,1.54,1.57,1.6,1.82,2.38,2.5,11.79,较低,2.4,5.27,3.29,3.42,-4.0,2.47,2.72,3.25,3.29,3.39,3.82,4.96,4.39,81.71,较高,-46.76,5.33,-38.55,-24.06,-1165.15,-42.48,-40.75,-39.18,-38.55,-31.06,4.35,4.76,12.56,75.61,偏高,10.97,12.56,12.1,11.84,-12.66,10.97,10.97,11.37,12.1,12.13,12.56,12.56,3.12,87.4,较高,1.6,3.24,2.48,2.46,-48.72,1.7,2.16,2.41,2.48,2.54,2.86,3.15,8.78,12.31,11.9,,19.9,14.61,0.67,银行I,246,2017-08-10,2018-08-10,1
600016.XSHG,民生银行,5.16,10.16,较低,4.85,7.05,6.16,6.0,-6.01,5.16,5.55,6.03,6.16,6.22,6.38,6.61,0.7,8.94,极低,0.66,0.96,0.85,0.82,-5.71,0.7,0.75,0.83,0.85,0.86,0.88,0.9,1.8,9.35,极低,1.69,2.38,2.02,2.03,-6.11,1.8,1.94,2.0,2.02,2.07,2.16,2.24,-8.2,60.98,偏高,-21.87,-2.03,-8.84,-11.88,,-20.51,-19.81,-18.51,-8.84,-8.21,-4.64,-2.09,13.6,67.48,偏高,13.48,14.17,13.56,13.66,-0.88,13.48,13.5,13.56,13.56,13.56,13.98,14.13,1.3,2.85,极低,1.27,2.12,1.52,1.58,-2.31,1.35,1.42,1.49,1.52,1.57,1.66,2.06,431.56,13.78,17.86,,7.36,5.86,0.88,银行I,246,2017-08-10,2018-08-10,1
601288.XSHG,农业银行,6.45,46.34,合理,5.5,8.13,6.46,6.54,-14.73,6.02,6.28,6.41,6.46,6.51,6.76,7.08,0.89,16.26,较低,0.81,1.16,0.93,0.95,-8.99,0.88,0.89,0.92,0.93,0.95,1.01,1.02,2.32,47.15,合理,1.98,2.92,2.32,2.35,-14.66,2.17,2.26,2.3,2.32,2.34,2.42,2.54,14.35,78.05,偏高,4.44,92.2,7.13,21.02,-69.06,4.64,4.81,5.58,7.13,13.24,14.39,90.28,13.78,4.07,极低,13.53,15.36,14.31,14.47,-1.81,13.78,14.2,14.31,14.31,14.33,15.07,15.36,4.62,59.76,合理,3.58,5.41,4.57,4.54,-22.51,4.16,4.34,4.52,4.57,4.62,4.73,4.95,2095.61,14.04,17.01,,5.13,5.98,1.08,银行I,246,2017-08-10,2018-08-10,1
601818.XSHG,光大银行,5.89,3.66,极低,5.75,8.36,6.34,6.53,-2.38,5.99,6.12,6.25,6.34,6.59,6.92,7.23,0.72,7.32,极低,0.68,1.1,0.82,0.83,-5.56,0.73,0.77,0.79,0.82,0.85,0.91,0.95,2.01,2.85,极低,1.97,2.84,2.14,2.21,-1.99,2.03,2.04,2.09,2.14,2.26,2.35,2.46,-2.36,82.52,较高,-8.74,7.47,-2.84,-3.27,,-8.37,-3.7,-3.17,-2.84,-2.68,-2.38,-2.27,12.25,32.93,偏低,11.7,13.65,13.13,12.76,-4.49,11.82,11.82,13.13,13.13,13.13,13.63,13.65,5.27,97.56,极高,1.78,5.37,2.4,2.48,-66.22,2.16,2.23,2.3,2.4,2.45,2.49,2.53,297.27,11.32,15.19,,9.3,6.06,0.97,银行I,246,2017-08-10,2018-08-10,1
601997.XSHG,贵阳银行,5.84,6.1,极低,5.68,9.54,7.71,7.57,-2.74,6.01,6.51,7.48,7.71,7.91,8.5,8.84,1.09,6.91,极低,1.05,1.7,1.38,1.37,-3.67,1.12,1.18,1.34,1.38,1.42,1.53,1.6,2.15,4.88,极低,2.09,3.35,2.72,2.69,-2.79,2.22,2.4,2.66,2.72,2.79,2.98,3.11,-5.61,22.76,偏低,-6.47,4.27,2.17,-0.05,,-6.22,-5.75,2.09,2.17,2.24,2.34,2.49,18.69,89.84,较高,17.59,19.23,18.15,18.07,-5.89,17.59,17.59,18.03,18.15,18.15,18.33,18.51,2.75,94.31,极高,1.49,2.83,1.79,1.89,-45.82,1.69,1.71,1.77,1.79,1.83,1.95,2.17,14.76,19.47,20.07,,27.33,18.7,0.31,银行I,246,2017-08-10,2018-08-10,1
601166.XSHG,兴业银行,5.51,13.82,较低,4.95,7.03,6.28,6.13,-10.16,5.42,5.72,6.17,6.28,6.41,6.54,6.61,0.81,15.45,较低,0.72,1.07,0.93,0.91,-11.11,0.79,0.81,0.92,0.93,0.95,0.99,1.01,2.27,13.82,较低,2.04,2.88,2.5,2.47,-10.13,2.24,2.35,2.46,2.5,2.52,2.6,2.67,-4.75,16.26,较低,-5.05,3.3,-2.6,-2.18,,-4.94,-4.68,-2.67,-2.6,-2.54,2.18,2.22,14.63,14.23,较低,14.15,15.59,14.66,14.79,-3.28,14.15,14.63,14.66,14.66,14.91,15.26,15.26,4.22,85.37,较高,3.14,4.7,3.55,3.68,-25.59,3.38,3.43,3.51,3.55,3.6,3.82,4.29,301.53,14.2,17.98,,10.69,10.61,0.52,银行I,246,2017-08-10,2018-08-10,1
000001.XSHE,平安银行,6.72,9.76,极低,6.26,11.26,8.52,8.53,-6.85,6.73,7.47,8.3,8.52,8.67,9.75,10.2,0.79,9.76,极低,0.73,1.31,1.0,1.0,-7.59,0.79,0.87,0.97,1.0,1.04,1.13,1.19,1.49,9.76,极低,1.39,2.46,1.84,1.86,-6.71,1.5,1.65,1.8,1.84,1.88,2.13,2.23,2.24,78.05,偏高,-26.43,2.88,-2.18,-8.82,-1279.91,-23.95,-22.9,-2.26,-2.18,-2.03,2.27,2.54,11.72,71.95,偏高,11.47,12.28,11.62,11.7,-2.13,11.59,11.59,11.62,11.62,11.62,11.72,12.11,1.47,73.98,偏高,1.05,1.84,1.38,1.38,-28.57,1.15,1.21,1.36,1.38,1.42,1.49,1.56,131.96,10.92,14.01,,22.63,12.01,0.56,银行I,246,2017-08-10,2018-08-10,1
600015.XSHG,华夏银行,4.87,10.16,较低,4.63,6.91,6.06,5.82,-4.93,4.87,5.38,5.96,6.06,6.09,6.19,6.28,0.64,8.54,极低,0.61,0.93,0.82,0.79,-4.69,0.64,0.7,0.8,0.82,0.83,0.86,0.87,1.47,10.16,较低,1.4,2.01,1.76,1.72,-4.76,1.46,1.62,1.73,1.76,1.79,1.82,1.84,-0.64,86.99,较高,-2.18,-0.61,-0.76,-0.8,,-1.02,-1.01,-0.77,-0.76,-0.75,-0.71,-0.64,13.22,16.67,较低,13.05,14.78,13.48,13.53,-1.29,13.05,13.22,13.48,13.48,13.48,14.19,14.19,2.0,88.62,较高,1.45,2.1,1.65,1.71,-27.5,1.58,1.61,1.63,1.65,1.68,1.81,2.0,102.74,12.33,16.48,,10.95,9.41,0.52,银行I,246,2017-08-10,2018-08-10,1
603323.XSHG,吴江银行,11.97,11.38,较低,11.07,25.64,16.89,17.22,-7.52,11.77,13.5,16.34,16.89,17.33,21.1,24.11,1.1,11.79,较低,1.0,2.22,1.46,1.5,-9.09,1.07,1.22,1.42,1.46,1.5,1.81,2.05,3.32,13.01,较低,2.99,7.07,4.55,4.68,-9.94,3.22,3.64,4.4,4.55,4.66,5.77,6.67,-3.83,68.7,偏高,-13.24,-2.15,-5.18,-5.04,,-6.64,-5.9,-5.57,-5.18,-4.28,-3.46,-2.5,9.16,96.34,极高,8.46,9.16,8.75,8.73,-7.64,8.51,8.51,8.64,8.75,8.75,9.04,9.04,2.27,84.15,较高,0.37,2.6,0.55,0.9,-83.7,0.41,0.45,0.54,0.55,0.57,2.13,2.38,9.55,9.02,9.0,,7.79,10.01,1.2,银行I,246,2017-08-10,2018-08-10,1
601229.XSHG,上海银行,7.35,7.32,极低,7.07,10.22,7.76,8.17,-3.81,7.38,7.53,7.71,7.76,7.84,9.22,9.75,0.96,60.16,偏高,0.81,1.27,0.94,1.0,-15.62,0.9,0.91,0.93,0.94,0.95,1.16,1.22,3.32,5.69,极低,3.2,4.7,3.6,3.77,-3.61,3.42,3.49,3.57,3.6,3.65,4.28,4.41,-4.88,64.63,偏高,-10.0,105.98,-7.61,-4.45,,-9.35,-8.83,-7.79,-7.61,-7.4,-4.78,-4.67,13.12,96.75,极高,11.36,13.12,12.12,12.2,-13.41,12.06,12.06,12.07,12.12,12.12,12.45,12.56,3.14,92.68,极高,2.01,3.48,2.48,2.47,-35.99,2.08,2.19,2.45,2.48,2.52,2.6,2.69,144.65,11.6,12.64,,0.03,8.59,0.86,银行I,246,2017-08-10,2018-08-10,1
002807.XSHE,江阴银行,12.29,11.38,较低,11.58,28.59,17.49,17.82,-5.78,12.14,13.52,16.39,17.49,18.13,22.42,24.67,1.09,10.98,较低,1.03,2.59,1.54,1.58,-5.5,1.08,1.2,1.45,1.54,1.6,1.98,2.18,3.89,10.98,较低,3.67,9.17,5.68,5.7,-5.66,3.84,4.28,5.3,5.68,5.9,7.01,7.71,-2.51,26.02,偏低,-25.31,2.68,1.25,-1.76,,-2.99,-2.69,1.18,1.25,1.28,2.13,2.34,8.88,71.14,偏高,8.71,9.05,8.85,8.84,-1.91,8.78,8.78,8.85,8.85,8.85,8.88,8.88,1.76,41.87,合理,1.2,2.25,1.81,1.77,-31.82,1.4,1.53,1.72,1.81,1.85,1.94,2.15,-358.54,9.39,9.49,,0.07,-0.28,-43.89,银行I,246,2017-08-10,2018-08-10,1
600919.XSHG,江苏银行,5.94,6.1,极低,5.8,9.43,7.39,7.49,-2.36,6.01,6.76,7.2,7.39,7.77,8.51,8.96,0.78,6.91,极低,0.76,1.24,0.96,0.97,-2.56,0.78,0.87,0.94,0.96,1.01,1.11,1.17,2.14,6.1,极低,2.08,3.23,2.58,2.63,-2.8,2.16,2.43,2.53,2.58,2.7,2.95,3.11,-0.46,18.7,较低,-2.49,12.85,1.63,5.82,,-0.52,-0.46,1.35,1.63,11.35,11.95,12.29,13.16,84.55,较高,12.87,13.17,13.03,13.01,-2.2,12.88,12.97,12.97,13.03,13.03,13.03,13.16,2.87,93.9,极高,2.0,2.94,2.36,2.38,-30.31,2.06,2.16,2.29,2.36,2.4,2.5,2.83,61.24,12.17,13.24,,9.69,11.82,0.5,银行I,246,2017-08-10,2018-08-10,1
600908.XSHG,无锡银行,10.42,7.72,极低,10.09,23.5,14.77,15.0,-3.17,10.46,11.92,14.07,14.77,15.1,17.32,21.97,1.15,6.1,极低,1.11,2.49,1.58,1.61,-3.48,1.15,1.28,1.52,1.58,1.61,1.84,2.33,3.62,7.72,极低,3.5,8.27,5.17,5.25,-3.31,3.63,4.14,4.93,5.17,5.29,6.09,7.72,-2.43,83.33,较高,-90.98,-2.15,-18.77,-18.98,,-27.84,-25.6,-24.41,-18.77,-2.88,-2.47,-2.39,11.03,80.49,较高,10.58,11.03,10.71,10.75,-4.08,10.6,10.6,10.61,10.71,10.8,10.8,11.03,2.6,89.84,较高,1.25,2.68,1.91,1.97,-51.92,1.34,1.67,1.87,1.91,1.97,2.27,2.59,11.48,11.26,11.22,,9.19,9.29,1.12,银行I,246,2017-08-10,2018-08-10,1
601169.XSHG,北京银行,6.45,4.47,极低,6.25,8.98,7.53,7.56,-3.1,6.61,7.13,7.41,7.53,7.59,8.27,8.44,0.78,6.1,极低,0.75,1.12,0.99,0.96,-3.85,0.78,0.86,0.97,0.99,1.0,1.07,1.08,2.44,4.47,极低,2.36,3.3,2.79,2.8,-3.28,2.5,2.63,2.75,2.79,2.85,3.04,3.1,-11.79,24.8,偏低,-13.97,-1.23,-1.82,-4.89,,-13.24,-12.05,-1.86,-1.82,-1.49,-1.38,-1.28,12.07,52.03,合理,11.65,14.46,11.85,12.7,-3.48,11.65,11.65,11.85,11.85,12.07,14.35,14.46,4.59,95.12,极高,2.31,4.73,2.76,2.87,-49.67,2.45,2.5,2.7,2.76,2.8,2.89,3.04,122.68,11.84,15.46,,12.76,10.03,0.64,银行I,246,2017-08-10,2018-08-10,1
601988.XSHG,中国银行,5.96,4.47,极低,5.81,8.0,6.63,6.72,-2.52,6.06,6.38,6.57,6.63,6.78,7.06,7.26,0.77,6.1,极低,0.73,1.01,0.84,0.86,-5.19,0.78,0.79,0.83,0.84,0.87,0.93,0.95,2.17,3.66,极低,2.12,2.93,2.41,2.44,-2.3,2.21,2.31,2.39,2.41,2.45,2.59,2.64,33.49,75.2,偏高,-19.32,36.99,6.07,12.24,-157.69,3.55,4.13,5.95,6.07,6.4,33.96,35.67,12.92,76.02,偏高,12.35,13.46,12.69,12.75,-4.41,12.44,12.44,12.69,12.69,12.69,12.92,13.46,5.13,95.53,极高,3.55,5.28,4.47,4.46,-30.8,4.17,4.23,4.4,4.47,4.51,4.6,4.86,2269.36,11.7,14.06,,5.83,4.45,1.34,银行I,246,2017-08-10,2018-08-10,1
601398.XSHG,工商银行,6.78,7.32,极低,6.26,9.74,7.48,7.57,-7.67,6.83,7.03,7.41,7.48,7.59,7.9,8.4,0.98,15.04,较低,0.87,1.38,1.07,1.08,-11.22,0.96,0.99,1.05,1.07,1.09,1.17,1.2,2.67,7.32,极低,2.47,3.98,3.04,3.06,-7.49,2.69,2.77,2.99,3.04,3.11,3.26,3.43,6.24,13.41,较低,-7.39,17.91,8.92,8.55,-218.43,6.01,6.33,6.78,8.92,9.17,10.8,16.75,14.46,69.92,偏高,13.86,15.2,14.15,14.32,-4.15,13.86,13.86,14.15,14.15,14.15,14.99,15.2,4.47,92.68,极高,3.05,4.78,4.04,4.03,-31.77,3.67,3.88,3.99,4.04,4.09,4.24,4.42,5106.32,13.86,17.29,,6.36,3.76,1.8,银行I,246,2017-08-10,2018-08-10,1
601998.XSHG,中信银行,6.72,7.32,极低,6.45,9.36,7.41,7.42,-4.02,6.92,7.15,7.36,7.41,7.45,7.64,7.89,0.81,5.69,极低,0.78,1.09,0.87,0.88,-3.7,0.81,0.83,0.86,0.87,0.89,0.92,0.94,1.84,7.32,极低,1.76,2.54,2.03,2.03,-4.35,1.89,1.95,2.0,2.03,2.05,2.1,2.15,24.59,62.2,偏高,-6.84,123.36,5.16,27.75,-127.82,3.91,3.99,4.37,5.16,24.39,27.32,118.53,12.07,68.29,偏高,11.59,12.29,11.67,11.81,-3.98,11.59,11.59,11.66,11.67,11.67,12.07,12.29,4.78,91.87,极高,2.79,5.02,3.74,3.81,-41.63,3.49,3.57,3.71,3.74,3.77,3.87,4.67,385.93,10.88,14.41,,12.08,6.93,0.97,银行I,246,2017-08-10,2018-08-10,1
601009.XSHG,南京银行,5.91,0.41,极低,5.83,9.01,7.31,7.29,-1.35,6.49,6.82,7.15,7.31,7.46,7.68,7.93,1.06,7.32,极低,0.91,1.52,1.21,1.22,-14.15,1.07,1.12,1.19,1.21,1.25,1.3,1.33,2.41,0.81,极低,2.37,3.51,2.8,2.82,-1.66,2.58,2.69,2.77,2.8,2.84,2.92,3.09,-11.54,16.67,较低,-30.05,2.69,-6.5,-9.31,,-29.28,-7.9,-6.69,-6.5,-6.37,-3.85,-3.63,17.85,98.78,极高,14.67,17.86,16.61,16.7,-17.82,16.45,16.45,16.6,16.61,16.81,16.82,17.08,4.69,98.78,极高,1.81,4.76,2.3,2.3,-61.41,2.05,2.16,2.28,2.3,2.32,2.38,2.41,32.25,14.96,16.48,,24.05,19.33,0.31,银行I,246,2017-08-10,2018-08-10,1
