,created_at,text,attitudes_count,comments_count,reposts_count,scheme
29,2018-04-01 08:11:53,"回复<a href='https://m.weibo.cn/n/帘卷西风之初'>@帘卷西风之初</a>:<a data-url=""http://t.cn/RfiGWYq"" href=""https://xueqiu.com/3867588746/77788115"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></span></i><span class=""surl-text"">飞龙在天论道: 《【私藏篇】推荐书目与读书心得》</a> //<a href='https://m.weibo.cn/n/帘卷西风之初'>@帘卷西风之初</a>:看不到书目啊，麻烦哪位友友分享一下",23.0,9.0,58.0,https://m.weibo.cn/status/Ga1WEALa8?mblogid=Ga1WEALa8&luicode=10000011&lfid=1076031254381361
30,2018-03-31 20:03:02,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em;height:1em;"" alt=""[good]""></span>//<a href='https://m.weibo.cn/n/但斌'>@但斌</a>: //<a href='https://m.weibo.cn/n/阳光总在风雨后519276538'>@阳光总在风雨后519276538</a>:查了一下这位牛散大09底大概持有片仔癀620万股，合2.5亿，经过中间三次分红送股并有极少的增持后最终持有2703万股合22.4亿，中间有少量减持后不久又增持，基本没怎么大变动，选好公司执行买入很重要，佩服！",43.0,4.0,39.0,https://m.weibo.cn/status/G9XaOB6ll?mblogid=G9XaOB6ll&luicode=10000011&lfid=1076031254381361
31,2018-03-31 20:01:20,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em;height:1em;"" alt=""[good]""></span>",6.0,1.0,10.0,https://m.weibo.cn/status/G9Xa7FUQl?mblogid=G9Xa7FUQl&luicode=10000011&lfid=1076031254381361
32,2018-03-31 20:00:58,//<a href='https://m.weibo.cn/n/但斌'>@但斌</a>: 伟大公司，时间会慢慢证明！,17.0,0.0,18.0,https://m.weibo.cn/status/G9X9Ywi5L?mblogid=G9X9Ywi5L&luicode=10000011&lfid=1076031254381361
33,2018-03-31 20:00:50,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em;height:1em;"" alt=""[good]""></span>//<a href='https://m.weibo.cn/n/双色杜梋'>@双色杜梋</a>: 回复<a href='https://m.weibo.cn/n/有所不为777'>@有所不为777</a>:之前秦玉峰提到打造阿胶块百亿单品；这里讲的是2018年的目标，是三大产品，类似阿胶系列，应当是含税销售额//<a href='https://m.weibo.cn/n/有所不为777'>@有所不为777</a>:我猜是是指阿胶块零售端的营业额",12.0,1.0,4.0,https://m.weibo.cn/status/G9X9Vj4Gk?mblogid=G9X9Vj4Gk&luicode=10000011&lfid=1076031254381361
34,2018-03-31 20:00:39,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em;height:1em;"" alt=""[good]""></span>",22.0,3.0,17.0,https://m.weibo.cn/status/G9X9QBief?mblogid=G9X9QBief&luicode=10000011&lfid=1076031254381361
35,2018-03-31 19:58:56,"闲来一坐s话投资: 【好书推荐】这其中的书，特别是经典的，我90%以上都读了，可以说有的不止一遍（凡是好的书，我认为是你读了一遍仍想重复读的... - 雪球 （分享自 <a href='https://m.weibo.cn/n/雪球'>@雪球</a>） <a data-url=""http://t.cn/RnBG5X9"" href=""https://xueqiu.com/3491303582/104359271"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></span></i><span class=""surl-text"">【好书推荐】这其中的书，特别是经典的，我90%以上都读了，可以说有的不止一遍（凡是好的书，我认为是你读了一遍仍想重复读的，或者想时不时翻看的书，如果读一遍就扔下了，就不当是好书，至少不是自己认为的好书）。这确实是个好书单，只是我的那本“小人书”除外，舔列其中，有些羞死了！</a> ​",24.0,6.0,91.0,https://m.weibo.cn/status/G9X99762m?mblogid=G9X99762m&luicode=10000011&lfid=1076031254381361
36,2018-03-31 15:29:54,"发表了博文《康复行业观察·上篇|康复医疗需求已被点燃》按：来源搜狐健康：<a data-url=""http://t.cn/Rn1lmku"" href=""http://www.sohu.com/a/226533036_162422"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></span></i><span class=""surl-text"">网页链接</a>现今，越来越多的患者不再满足于治好病，更在乎生活质量<a data-url=""http://t.cn/Rn1lmkn"" href=""http://blog.sina.com.cn/s/blog_4ac457310102xg54.html?ref=weibocard"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_article_default.png""></span></i><span class=""surl-text"">康复行业观察·上篇|康复医疗需求已被点燃</a> ​",22.0,4.0,16.0,https://m.weibo.cn/status/G9VnX7W72?mblogid=G9VnX7W72&luicode=10000011&lfid=1076031254381361
37,2018-03-29 21:47:03,"哦，你转这来了！实话相告：我从乐趣兄的投资中学到的可以用一句话来概括：决定一个人钱的厚度的是格局，而不是小算计！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;"" alt=""[微笑]""></span>",65.0,9.0,45.0,https://m.weibo.cn/status/G9F02C5T1?mblogid=G9F02C5T1&luicode=10000011&lfid=1076031254381361
38,2018-03-28 21:41:58,回复<a href='https://m.weibo.cn/n/吴承欣'>@吴承欣</a>:这个30%也就是个大致概念，同时还要结合估值进入合理区、低估区来判断。但很多情况下，长牛股调整30%，也多是够深度的了。//<a href='https://m.weibo.cn/n/吴承欣'>@吴承欣</a>:回复<a href='https://m.weibo.cn/n/嘉诚微博'>@嘉诚微博</a>:《军规》说第三类买入机会是牛股阶段性调整30%。不知道我是不是机械照搬,38.0,28.0,23.0,https://m.weibo.cn/status/G9vxu7wrY?mblogid=G9vxu7wrY&luicode=10000011&lfid=1076031254381361
