,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,vlt,roi,stocks,sample,start,update,aid
801030,化工I,22.47,33.91,偏低,13.01,76.55,31.38,33.06,-42.1,16.79,18.99,27.11,31.38,39.72,45.3,50.04,1.97,25.5,偏低,1.53,5.3,2.62,2.57,-22.34,1.75,1.86,2.48,2.62,2.75,2.96,3.4,1.54,70.96,偏高,0.34,2.17,0.88,1.08,-77.92,0.59,0.62,0.74,0.88,0.96,1.73,1.88,11.41,43.32,合理,8.35,16.83,11.78,12.35,-26.82,8.96,9.69,11.02,11.78,13.4,15.19,15.62,13.5,2.52,343,1212,2015-01-23,2020-01-22,5
801180,房地产I,9.61,14.93,较低,8.09,33.64,16.43,16.83,-15.82,9.34,10.11,15.55,16.43,19.59,22.42,23.46,1.39,21.53,偏低,1.13,4.09,1.99,2.0,-18.71,1.3,1.37,1.89,1.99,2.19,2.39,2.79,2.79,80.94,较高,0.36,3.63,1.52,1.79,-87.1,1.02,1.15,1.34,1.52,1.72,2.74,2.96,6.91,0.25,极低,6.9,10.09,8.14,8.24,-0.14,7.11,7.25,7.98,8.14,8.22,9.47,9.72,19.17,-0.04,132,1212,2015-01-23,2020-01-22,5
801750,计算机I,65.39,74.67,偏高,37.34,159.7,57.36,63.28,-42.9,46.16,48.98,54.48,57.36,59.11,74.46,97.21,4.31,51.4,合理,2.47,15.76,4.25,5.25,-42.69,3.15,3.45,3.92,4.25,4.66,6.73,9.09,0.31,15.51,较低,0.18,0.6,0.38,0.38,-41.94,0.27,0.33,0.37,0.38,0.39,0.43,0.49,15.17,83.0,较高,9.15,16.57,13.32,12.82,-39.68,10.06,10.27,11.35,13.32,14.66,15.12,15.6,22.28,5.76,227,1212,2015-01-23,2020-01-22,5
801010,农林牧渔I,32.24,40.59,合理,23.6,119.64,35.16,45.38,-26.8,25.86,27.51,31.99,35.16,49.55,61.95,74.25,3.6,41.83,合理,2.33,7.37,3.77,3.79,-35.28,2.64,3.07,3.53,3.77,3.93,4.23,4.92,1.3,74.26,偏高,0.26,1.88,0.88,0.92,-80.0,0.36,0.42,0.74,0.88,1.08,1.39,1.55,8.96,16.5,较低,7.1,16.67,10.48,11.6,-20.76,7.64,9.02,10.24,10.48,12.52,14.95,15.95,25.09,6.79,85,1212,2015-01-23,2020-01-22,5
801140,轻工制造I,25.27,35.97,偏低,14.23,113.29,36.69,41.2,-43.69,18.23,20.59,27.43,36.69,49.6,57.59,72.47,1.83,24.09,偏低,1.45,6.39,2.98,2.87,-20.77,1.65,1.74,2.59,2.98,3.2,3.58,4.15,1.01,68.32,偏高,0.28,1.54,0.71,0.8,-72.28,0.45,0.51,0.58,0.71,0.76,1.17,1.35,13.81,53.22,合理,9.65,18.17,13.43,13.6,-30.12,10.12,10.3,12.06,13.43,14.51,17.38,17.7,15.6,0.73,130,1212,2015-01-23,2020-01-22,5
801710,建筑材料I,12.76,21.95,偏低,9.98,50.69,28.73,26.9,-21.79,11.3,12.19,24.61,28.73,32.54,39.09,41.25,1.88,21.53,偏低,1.5,4.09,2.32,2.28,-20.21,1.68,1.84,2.16,2.32,2.43,2.62,2.7,2.13,87.29,较高,0.5,3.37,1.04,1.25,-76.53,0.63,0.73,0.82,1.04,1.22,1.91,2.31,6.79,22.52,偏低,6.19,17.77,10.84,11.41,-8.84,6.63,6.76,9.82,10.84,12.83,15.97,16.99,20.66,6.88,68,1212,2015-01-23,2020-01-22,5
801050,有色金属I,39.56,35.89,偏低,20.95,140.31,56.8,62.82,-47.04,26.38,33.06,45.07,56.8,70.19,93.67,107.33,2.15,25.25,偏低,1.69,5.67,3.01,2.88,-21.4,1.9,2.06,2.8,3.01,3.16,3.4,3.6,0.63,69.47,偏高,0.18,1.25,0.41,0.55,-71.43,0.3,0.32,0.37,0.41,0.47,0.8,1.08,18.4,49.26,合理,11.99,35.55,18.41,20.89,-34.84,12.77,14.12,16.9,18.41,22.07,28.31,31.92,24.79,-2.34,119,1212,2015-01-23,2020-01-22,5
801160,公用事业I,18.88,5.28,极低,17.57,37.45,23.18,23.55,-6.94,19.45,20.06,21.71,23.18,23.98,26.97,28.54,1.41,3.63,极低,1.35,4.54,2.18,2.16,-4.26,1.44,1.54,2.05,2.18,2.26,2.37,2.99,1.86,88.94,较高,0.59,2.35,1.59,1.56,-68.28,1.28,1.41,1.54,1.59,1.63,1.76,1.86,13.39,74.17,偏高,8.03,14.03,12.3,11.42,-40.03,8.36,8.7,10.48,12.3,13.19,13.45,13.7,11.02,-6.94,166,1212,2015-01-23,2020-01-22,5
801770,通信I,39.98,20.63,偏低,31.31,95.06,48.36,50.0,-21.69,36.41,39.74,45.74,48.36,50.42,60.94,63.78,2.85,32.84,偏低,1.95,6.6,3.27,3.3,-31.58,2.36,2.6,3.08,3.27,3.46,3.85,4.29,0.43,45.46,合理,0.15,0.57,0.43,0.41,-65.12,0.31,0.33,0.41,0.43,0.45,0.48,0.5,14.03,33.83,偏低,12.61,20.57,14.5,15.31,-10.12,13.1,13.47,14.22,14.5,15.52,17.41,19.05,21.28,2.51,106,1212,2015-01-23,2020-01-22,5
801780,银行I,6.89,55.12,合理,5.56,8.78,6.81,6.89,-19.3,6.34,6.46,6.7,6.81,6.94,7.28,7.57,0.8,10.89,较低,0.72,1.46,0.93,0.95,-10.0,0.79,0.83,0.9,0.93,0.96,1.04,1.16,3.34,30.53,偏低,2.31,5.56,3.54,3.54,-30.84,2.95,3.16,3.45,3.54,3.65,3.9,4.08,8.61,94.64,极高,5.57,8.99,7.48,7.34,-35.31,6.02,6.47,7.33,7.48,7.71,8.07,8.39,11.94,2.51,36,1212,2015-01-23,2020-01-22,5
801890,机械设备I,27.37,17.08,较低,23.47,136.07,54.87,53.82,-14.25,25.77,27.73,46.63,54.87,61.06,74.71,82.47,2.11,27.97,偏低,1.6,6.21,2.85,2.81,-24.17,1.89,1.99,2.62,2.85,2.98,3.23,3.92,0.91,73.35,偏高,0.26,1.32,0.6,0.68,-71.43,0.41,0.46,0.56,0.6,0.66,0.98,1.03,12.97,5.03,极低,12.78,24.86,18.12,18.41,-1.46,13.9,14.1,17.24,18.12,20.65,22.02,22.82,14.85,-3.53,352,1212,2015-01-23,2020-01-22,5
