,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300329.XSHE,海伦钢琴,1.1206,8.8298,0.0052,0.0583,轻工制造I,2012-06-19
300377.XSHE,赢时胜,4.5058,27.6924,0.015,0.0543,计算机I,2014-01-27
300523.XSHE,辰安科技,3.5545,10.1906,0.0047,0.0461,计算机I,2016-07-26
300757.XSHE,罗博特科,2.2875,2.8437,0.001,0.0349,机械设备I,2019-01-08
300138.XSHE,晨光生物,3.2758,17.2274,0.0059,0.0345,农林牧渔I,2010-11-05
300530.XSHE,达志科技,1.5667,5.0998,0.0017,0.0342,化工I,2016-08-09
300547.XSHE,川环科技,3.3587,7.4412,0.0024,0.0317,汽车I,2016-09-30
300723.XSHE,一品红,5.1658,12.2769,0.0026,0.0208,医药生物I,2017-11-16
300312.XSHE,邦讯技术,-1.1698,6.5813,0.0014,0.0207,通信I,2012-05-08
300235.XSHE,方直科技,1.6146,6.033,0.0008,0.0139,计算机I,2011-06-29
300620.XSHE,光库科技,2.4056,5.3446,0.0004,0.0066,通信I,2017-03-10
300533.XSHE,冰川网络,2.2352,15.4058,0.0006,0.0038,传媒I,2016-08-18
300407.XSHE,凯发电气,2.5789,10.8761,0.0002,0.002,电气设备I,2014-12-03
300041.XSHE,回天新材,1.8811,17.7698,0.0001,0.0003,化工I,2010-01-08
